electionrecordid,raceorder,votes,reported,race,candidate,party,town,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
415,110,0,0,Question 1: Marijuana Legalization,No,,Hancock,Hancock,407,62,676,582,0.24,0.39,0.34
416,110,0,0,Question 1: Marijuana Legalization,No,,Lamoine,Lamoine,374,63,535,458,0.26,0.37,0.32
417,110,0,0,Question 1: Marijuana Legalization,No,,Mariaville,Mariaville,76,18,113,148,0.21,0.32,0.42
418,110,0,0,Question 1: Marijuana Legalization,No,,Mount Desert,Mount Desert,637,66,494,615,0.35,0.27,0.34
419,110,0,0,Question 1: Marijuana Legalization,No,,Orland,Orland,446,72,415,648,0.28,0.26,0.41
420,110,0,0,Question 1: Marijuana Legalization,No,,Osborn,Osborn,9,1,33,8,0.18,0.65,0.16
421,110,0,0,Question 1: Marijuana Legalization,No,,Otis,Otis,131,29,218,193,0.23,0.38,0.34
422,110,0,0,Question 1: Marijuana Legalization,No,,Penobscot,Penobscot,286,52,297,367,0.29,0.3,0.37
423,110,0,0,Question 1: Marijuana Legalization,No,,Sedgwick,Sedgwick,342,57,238,336,0.35,0.24,0.35
424,110,0,0,Question 1: Marijuana Legalization,No,,Sorrento,Sorrento,86,8,94,77,0.32,0.35,0.29
425,110,0,0,Question 1: Marijuana Legalization,No,,Southwest Harbor,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
426,110,0,0,Question 1: Marijuana Legalization,No,,Stonington,Stonington,285,37,169,410,0.32,0.19,0.46
427,110,0,0,Question 1: Marijuana Legalization,No,,Sullivan,Sullivan,208,56,258,349,0.24,0.3,0.4
428,110,0,0,Question 1: Marijuana Legalization,No,,Surry,Surry,378,64,433,368,0.3,0.35,0.3
429,110,0,0,Question 1: Marijuana Legalization,No,,Swans Island,Swans Island,64,19,115,118,0.2,0.36,0.37
430,110,0,0,Question 1: Marijuana Legalization,No,,Tremont,Tremont,64,19,115,118,0.2,0.36,0.37
431,110,0,0,Question 1: Marijuana Legalization,No,,Trenton,Trenton,290,55,359,419,0.26,0.32,0.37
432,110,0,0,Question 1: Marijuana Legalization,No,,Verona Island,Verona Island,136,14,141,134,0.32,0.33,0.32
433,110,0,0,Question 1: Marijuana Legalization,No,,Waltham,Waltham,45,7,139,71,0.17,0.53,0.27
434,110,0,0,Question 1: Marijuana Legalization,No,,Winter Harbor,Winter Harbor,96,14,171,149,0.22,0.4,0.35
435,111,0,0,Question 2: Education Tax,Yes,,Amherst,Amherst,52,9,73,66,0.26,0.37,0.33
436,111,0,0,Question 2: Education Tax,Yes,,Aurora,Aurora,15,2,38,22,0.19,0.49,0.29
437,111,0,0,Question 2: Education Tax,Yes,,Bar Harbor,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
438,111,0,0,Question 2: Education Tax,Yes,,Blue Hill,Blue Hill,902,81,624,676,0.4,0.27,0.3
439,111,0,0,Question 2: Education Tax,Yes,,Brooklin,Brooklin,257,45,191,248,0.35,0.26,0.33
440,111,0,0,Question 2: Education Tax,Yes,,Brooksville,Brooksville,291,45,220,241,0.37,0.28,0.3
441,111,0,0,Question 2: Education Tax,Yes,,Bucksport,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
442,111,0,0,Question 2: Education Tax,Yes,,Castine,Castine,307,48,316,375,0.29,0.3,0.36
443,111,0,0,Question 2: Education Tax,Yes,,Cranberry Isles,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
444,111,0,0,Question 2: Education Tax,Yes,,Dedham,Dedham,324,41,450,506,0.25,0.34,0.38
445,111,0,0,Question 2: Education Tax,Yes,,Deer Isle,Deer Isle,574,62,416,644,0.34,0.25,0.38
446,111,0,0,Question 2: Education Tax,Yes,,Eastbrook,Eastbrook,73,10,124,112,0.23,0.39,0.35
447,111,0,0,Question 2: Education Tax,Yes,,Ellsworth,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
449,111,0,0,Question 2: Education Tax,Yes,,Franklin,Franklin,249,49,375,340,0.25,0.37,0.34
450,111,0,0,Question 2: Education Tax,Yes,,Frenchboro,Frenchboro,12,4,9,17,0.29,0.21,0.4
