electionrecordid,raceorder,votes,reported,race,candidate,party,town,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
,10,0,0,U.S. President,Donald Trump,R,Otis,,131,29,218,193,0.23,0.38,0.34
,10,0,0,U.S. President,Donald Trump,R,Penobscot,,286,52,297,367,0.29,0.3,0.37
,10,0,0,U.S. President,Donald Trump,R,Sedgwick,,342,57,238,336,0.35,0.24,0.35
,10,0,0,U.S. President,Donald Trump,R,Sorrento,,86,8,94,77,0.32,0.35,0.29
,10,0,0,U.S. President,Donald Trump,R,Southwest Harbor,,468,69,383,590,0.31,0.25,0.39
,10,0,0,U.S. President,Donald Trump,R,Stonington,,285,37,169,410,0.32,0.19,0.46
,10,0,0,U.S. President,Donald Trump,R,Sullivan,,208,56,258,349,0.24,0.3,0.4
,10,0,0,U.S. President,Donald Trump,R,Surry,,378,64,433,368,0.3,0.35,0.3
,10,0,0,U.S. President,Donald Trump,R,Swans Island,,64,19,115,118,0.2,0.36,0.37
,10,0,0,U.S. President,Donald Trump,R,Tremont,,64,19,115,118,0.2,0.36,0.37
,10,0,0,U.S. President,Donald Trump,R,Trenton,,290,55,359,419,0.26,0.32,0.37
,10,0,0,U.S. President,Donald Trump,R,Verona Island,,136,14,141,134,0.32,0.33,0.32
,10,0,0,U.S. President,Donald Trump,R,Waltham,,45,7,139,71,0.17,0.53,0.27
,10,0,0,U.S. President,Donald Trump,R,Winter Harbor,,96,14,171,149,0.22,0.4,0.35
,10,0,0,U.S. President,Jill Stein,G,Amherst,,52,9,73,66,0.26,0.37,0.33
,10,0,0,U.S. President,Jill Stein,G,Aurora,,15,2,38,22,0.19,0.49,0.29
,10,0,0,U.S. President,Jill Stein,G,Bar Harbor,,1654,172,859,1420,0.4,0.21,0.35
,10,0,0,U.S. President,Jill Stein,G,Blue Hill,,902,81,624,676,0.4,0.27,0.3
,10,0,0,U.S. President,Jill Stein,G,Brooklin,,257,45,191,248,0.35,0.26,0.33
,10,0,0,U.S. President,Jill Stein,G,Brooksville,,291,45,220,241,0.37,0.28,0.3
,10,0,0,U.S. President,Jill Stein,G,Bucksport,,1047,71,1103,1531,0.28,0.29,0.41
,10,0,0,U.S. President,Jill Stein,G,Castine,,307,48,316,375,0.29,0.3,0.36
,10,0,0,U.S. President,Jill Stein,G,Cranberry Isles,,70,5,42,77,0.36,0.22,0.4
,10,0,0,U.S. President,Jill Stein,G,Dedham,,324,41,450,506,0.25,0.34,0.38
,10,0,0,U.S. President,Jill Stein,G,Deer Isle,,574,62,416,644,0.34,0.25,0.38
,10,0,0,U.S. President,Jill Stein,G,Eastbrook,,73,10,124,112,0.23,0.39,0.35
,10,0,0,U.S. President,Jill Stein,G,Ellsworth,,1377,196,2075,1840,0.25,0.38,0.34
,10,0,0,U.S. President,Jill Stein,G,Fletchers Landing,,,,,,,,
,10,0,0,U.S. President,Jill Stein,G,Franklin,,249,49,375,340,0.25,0.37,0.34
,10,0,0,U.S. President,Jill Stein,G,Frenchboro,,12,4,9,17,0.29,0.21,0.4
,10,0,0,U.S. President,Jill Stein,G,Gouldsboro,,369,81,515,541,0.25,0.34,0.36
,10,0,0,U.S. President,Jill Stein,G,Great Pond,,9,0,16,14,0.23,0.41,0.36
,10,0,0,U.S. President,Jill Stein,G,Hancock,,407,62,676,582,0.24,0.39,0.34
,10,0,0,U.S. President,Jill Stein,G,Lamoine,,374,63,535,458,0.26,0.37,0.32
,10,0,0,U.S. President,Jill Stein,G,Mariaville,,76,18,113,148,0.21,0.32,0.42
,10,0,0,U.S. President,Jill Stein,G,Mount Desert,,637,66,494,615,0.35,0.27,0.34
,10,0,0,U.S. President,Jill Stein,G,Orland,,446,72,415,648,0.28,0.26,0.41
,10,0,0,U.S. President,Jill Stein,G,Osborn,,9,1,33,8,0.18,0.65,0.16
,10,0,0,U.S. President,Jill Stein,G,Otis,,131,29,218,193,0.23,0.38,0.34
,10,0,0,U.S. President,Jill Stein,G,Penobscot,,286,52,297,367,0.29,0.3,0.37
,10,0,0,U.S. President,Jill Stein,G,Sedgwick,,342,57,238,336,0.35,0.24,0.35
,10,0,0,U.S. President,Jill Stein,G,Sorrento,,86,8,94,77,0.32,0.35,0.29
,10,0,0,U.S. President,Jill Stein,G,Southwest Harbor,,468,69,383,590,0.31,0.25,0.39
,10,0,0,U.S. President,Jill Stein,G,Stonington,,285,37,169,410,0.32,0.19,0.46
,10,0,0,U.S. President,Jill Stein,G,Sullivan,,208,56,258,349,0.24,0.3,0.4
,10,0,0,U.S. President,Jill Stein,G,Surry,,378,64,433,368,0.3,0.35,0.3
,10,0,0,U.S. President,Jill Stein,G,Swans Island,,64,19,115,118,0.2,0.36,0.37
,10,0,0,U.S. President,Jill Stein,G,Tremont,,64,19,115,118,0.2,0.36,0.37
,10,0,0,U.S. President,Jill Stein,G,Trenton,,290,55,359,419,0.26,0.32,0.37
,10,0,0,U.S. President,Jill Stein,G,Verona Island,,136,14,141,134,0.32,0.33,0.32
,10,0,0,U.S. President,Jill Stein,G,Waltham,,45,7,139,71,0.17,0.53,0.27
,10,0,0,U.S. President,Jill Stein,G,Winter Harbor,,96,14,171,149,0.22,0.4,0.35
,10,0,0,U.S. President,Gary Jonson,L,Amherst,,52,9,73,66,0.26,0.37,0.33
,10,0,0,U.S. President,Gary Jonson,L,Aurora,,15,2,38,22,0.19,0.49,0.29
,10,0,0,U.S. President,Gary Jonson,L,Bar Harbor,,1654,172,859,1420,0.4,0.21,0.35
,10,0,0,U.S. President,Gary Jonson,L,Blue Hill,,902,81,624,676,0.4,0.27,0.3
,10,0,0,U.S. President,Gary Jonson,L,Brooklin,,257,45,191,248,0.35,0.26,0.33
,10,0,0,U.S. President,Gary Jonson,L,Brooksville,,291,45,220,241,0.37,0.28,0.3
,10,0,0,U.S. President,Gary Jonson,L,Bucksport,,1047,71,1103,1531,0.28,0.29,0.41
,10,0,0,U.S. President,Gary Jonson,L,Castine,,307,48,316,375,0.29,0.3,0.36
,10,0,0,U.S. President,Gary Jonson,L,Cranberry Isles,,70,5,42,77,0.36,0.22,0.4
,10,0,0,U.S. President,Gary Jonson,L,Dedham,,324,41,450,506,0.25,0.34,0.38
,10,0,0,U.S. President,Gary Jonson,L,Deer Isle,,574,62,416,644,0.34,0.25,0.38
,10,0,0,U.S. President,Gary Jonson,L,Eastbrook,,73,10,124,112,0.23,0.39,0.35
,10,0,0,U.S. President,Gary Jonson,L,Ellsworth,,1377,196,2075,1840,0.25,0.38,0.34
,10,0,0,U.S. President,Gary Jonson,L,Fletchers Landing,,,,,,,,
,10,0,0,U.S. President,Gary Jonson,L,Franklin,,249,49,375,340,0.25,0.37,0.34
,10,0,0,U.S. President,Gary Jonson,L,Frenchboro,,12,4,9,17,0.29,0.21,0.4
,10,0,0,U.S. President,Gary Jonson,L,Gouldsboro,,369,81,515,541,0.25,0.34,0.36
,10,0,0,U.S. President,Gary Jonson,L,Great Pond,,9,0,16,14,0.23,0.41,0.36
,10,0,0,U.S. President,Gary Jonson,L,Hancock,,407,62,676,582,0.24,0.39,0.34
,10,0,0,U.S. President,Gary Jonson,L,Lamoine,,374,63,535,458,0.26,0.37,0.32
,10,0,0,U.S. President,Gary Jonson,L,Mariaville,,76,18,113,148,0.21,0.32,0.42
,10,0,0,U.S. President,Gary Jonson,L,Mount Desert,,637,66,494,615,0.35,0.27,0.34
,10,0,0,U.S. President,Gary Jonson,L,Orland,,446,72,415,648,0.28,0.26,0.41
,10,0,0,U.S. President,Gary Jonson,L,Osborn,,9,1,33,8,0.18,0.65,0.16
,10,0,0,U.S. President,Gary Jonson,L,Otis,,131,29,218,193,0.23,0.38,0.34
,10,0,0,U.S. President,Gary Jonson,L,Penobscot,,286,52,297,367,0.29,0.3,0.37
,10,0,0,U.S. President,Gary Jonson,L,Sedgwick,,342,57,238,336,0.35,0.24,0.35
,10,0,0,U.S. President,Gary Jonson,L,Sorrento,,86,8,94,77,0.32,0.35,0.29
,10,0,0,U.S. President,Gary Jonson,L,Southwest Harbor,,468,69,383,590,0.31,0.25,0.39
,10,0,0,U.S. President,Gary Jonson,L,Stonington,,285,37,169,410,0.32,0.19,0.46
,10,0,0,U.S. President,Gary Jonson,L,Sullivan,,208,56,258,349,0.24,0.3,0.4
,10,0,0,U.S. President,Gary Jonson,L,Surry,,378,64,433,368,0.3,0.35,0.3
,10,0,0,U.S. President,Gary Jonson,L,Swans Island,,64,19,115,118,0.2,0.36,0.37
