electionrecordid,raceorder,votes,reported,race,candidate,town,party,precinct,r_d,r_g,r_r,r_u,pct_d,pct_r,pct_u
,,,,State Senator District 7 (R),Brian D. Langley,Tremont,R,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,State Senator District 7 (R),Brian D. Langley,Trenton,R,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,State Senator District 7 (R),Brian D. Langley,Waltham,R,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,State Senator District 8 (R),Kimberley C. Rosen,Bucksport,R,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,,,,State Senator District 8 (R),Kimberley C. Rosen,Castine,R,Castine,307,48,316,375,0.29,0.3,0.36
,,,,State Senator District 8 (R),Kimberley C. Rosen,Dedham,R,Dedham,324,41,450,506,0.25,0.34,0.38
,,,,State Senator District 8 (R),Kimberley C. Rosen,Great Pond,R,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,State Senator District 8 (R),Kimberley C. Rosen,Orland,R,Orland,446,72,415,648,0.28,0.26,0.41
,,,,State Senator District 8 (R),Kimberley C. Rosen,Penobscot,R,Penobscot,286,52,297,367,0.29,0.3,0.37
,,,,State Senator District 8 (R),Kimberley C. Rosen,Verona Island,R,Verona Island,136,14,141,134,0.32,0.33,0.32
,,,,Legislature District 130 (R),Richard H. Campbell,Bucksport,R,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,,,,Legislature District 131 (R),Karleton S. Ward,Dedham,R,Dedham,324,41,450,506,0.25,0.34,0.38
,,,,Legislature District 131 (R),Karleton S. Ward,Orland,R,Orland,446,72,415,648,0.28,0.26,0.41
,,,,Legislature District 131 (R),Karleton S. Ward,Otis,R,Otis,131,29,218,193,0.23,0.38,0.34
,,,,Legislature District 131 (R),Karleton S. Ward,Penobscot,R,Penobscot,286,52,297,367,0.29,0.3,0.37
,,,,Legislature District 131 (R),Karleton S. Ward,Verona Island,R,Verona Island,136,14,141,134,0.32,0.33,0.32
,,,,Legislature District 132 (R),John D. Linnehan,Ellsworth,R,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,Legislature District 132 (R),John D. Linnehan,Trenton,R,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,Legislature District 133 (R),Timothy Norris Leach,Blue Hill,R,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,Legislature District 133 (R),Timothy Norris Leach,Brooklin,R,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,Legislature District 133 (R),Timothy Norris Leach,Brooksville,R,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,Legislature District 133 (R),Timothy Norris Leach,Castine,R,Castine,307,48,316,375,0.29,0.3,0.36
,,,,Legislature District 133 (R),Timothy Norris Leach,Sedgwick,R,Sedgwick,342,57,238,336,0.35,0.24,0.35
,,,,Legislature District 133 (R),Timothy Norris Leach,Surry,R,Surry,378,64,433,368,0.3,0.35,0.3
,,,,Legislature District 134 (R),Merle Fuller Cousins Jr.,Cranberry Isles,R,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,Legislature District 134 (R),Merle Fuller Cousins Jr.,Deer Isle,R,Deer Isle,574,62,416,644,0.34,0.25,0.38
,,,,Legislature District 134 (R),Merle Fuller Cousins Jr.,Frenchboro,R,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,Legislature District 134 (R),Merle Fuller Cousins Jr.,Southwest Harbor,R,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,Legislature District 134 (R),Merle Fuller Cousins Jr.,Stonington,R,Stonington,285,37,169,410,0.32,0.19,0.46
,,,,Legislature District 134 (R),Merle Fuller Cousins Jr.,Swans Island,R,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,Legislature District 134 (R),Merle Fuller Cousins Jr.,Tremont,R,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,Legislature District 135 (R),Maurice Joseph Marshall,Bar Harbor,R,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,Legislature District 135 (R),Maurice Joseph Marshall,Lamoine,R,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,Legislature District 135 (R),Maurice Joseph Marshall,Mount Desert,R,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,Legislature District 136 (R),Richard S. Malaby,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,Legislature District 136 (R),Richard S. Malaby,Mariaville,R,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,Legislature District 136 (R),Richard S. Malaby,Osborn,R,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,Legislature District 136 (R),Richard S. Malaby,Sorrento,R,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,Legislature District 136 (R),Richard S. Malaby,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,Legislature District 136 (R),Richard S. Malaby,Waltham,R,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,Legislature District 136 (R),Richard S. Malaby,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,Legislature District 137 (R),Lawrence Earl Lockman,Amherst,R,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,Legislature District 137 (R),Lawrence Earl Lockman,Aurora,R,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,Legislature District 137 (R),Lawrence Earl Lockman,Eastbrook,R,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,Legislature District 137 (R),Lawrence Earl Lockman,Franklin,R,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,Legislature District 137 (R),Lawrence Earl Lockman,Great Pond,R,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,Register of Probate (R),Gale S. Coughlin,Amherst,R,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,Register of Probate (R),Gale S. Coughlin,Aurora,R,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,Register of Probate (R),Gale S. Coughlin,Bar Harbor,R,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,Register of Probate (R),Gale S. Coughlin,Blue Hill,R,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,Register of Probate (R),Gale S. Coughlin,Brooklin,R,Brooklin,257,45,191,248,0.35,0.26,0.33
,,,,Register of Probate (R),Gale S. Coughlin,Brooksville,R,Brooksville,291,45,220,241,0.37,0.28,0.3
,,,,Register of Probate (R),Gale S. Coughlin,Bucksport,R,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,,,,Register of Probate (R),Gale S. Coughlin,Castine,R,Castine,307,48,316,375,0.29,0.3,0.36
,,,,Register of Probate (R),Gale S. Coughlin,Cranberry Isles,R,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,Register of Probate (R),Gale S. Coughlin,Dedham,R,Dedham,324,41,450,506,0.25,0.34,0.38
,,,,Register of Probate (R),Gale S. Coughlin,Deer Isle,R,Deer Isle,574,62,416,644,0.34,0.25,0.38
,,,,Register of Probate (R),Gale S. Coughlin,Eastbrook,R,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,Register of Probate (R),Gale S. Coughlin,Ellsworth,R,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,Register of Probate (R),Gale S. Coughlin,Franklin,R,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,Register of Probate (R),Gale S. Coughlin,Frenchboro,R,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,Register of Probate (R),Gale S. Coughlin,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,Register of Probate (R),Gale S. Coughlin,Great Pond,R,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,Register of Probate (R),Gale S. Coughlin,Hancock,R,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,Register of Probate (R),Gale S. Coughlin,Lamoine,R,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,Register of Probate (R),Gale S. Coughlin,Mariaville,R,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,Register of Probate (R),Gale S. Coughlin,Mount Desert,R,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,Register of Probate (R),Gale S. Coughlin,Orland,R,Orland,446,72,415,648,0.28,0.26,0.41
,,,,Register of Probate (R),Gale S. Coughlin,Osborn,R,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,Register of Probate (R),Gale S. Coughlin,Otis,R,Otis,131,29,218,193,0.23,0.38,0.34
,,,,Register of Probate (R),Gale S. Coughlin,Penobscot,R,Penobscot,286,52,297,367,0.29,0.3,0.37
,,,,Register of Probate (R),Gale S. Coughlin,Sedgwick,R,Sedgwick,342,57,238,336,0.35,0.24,0.35
,,,,Register of Probate (R),Gale S. Coughlin,Sorrento,R,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,Register of Probate (R),Gale S. Coughlin,Southwest Harbor,R,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,Register of Probate (R),Gale S. Coughlin,Stonington,R,Stonington,285,37,169,410,0.32,0.19,0.46
,,,,Register of Probate (R),Gale S. Coughlin,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,Register of Probate (R),Gale S. Coughlin,Surry,R,Surry,378,64,433,368,0.3,0.35,0.3
,,,,Register of Probate (R),Gale S. Coughlin,Swans Island,R,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,Register of Probate (R),Gale S. Coughlin,Tremont,R,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,Register of Probate (R),Gale S. Coughlin,Trenton,R,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,Register of Probate (R),Gale S. Coughlin,Verona Island,R,Verona Island,136,14,141,134,0.32,0.33,0.32
,,,,Register of Probate (R),Gale S. Coughlin,Waltham,R,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,Register of Probate (R),Gale S. Coughlin,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,County Commissioner District 1 (R),William F. Clark,Amherst,R,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,County Commissioner District 1 (R),Steven E. Joy,Amherst,R,Amherst,52,9,73,66,0.26,0.37,0.33
,,,,County Commissioner District 1 (R),William F. Clark,Aurora,R,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,County Commissioner District 1 (R),Steven E. Joy,Aurora,R,Aurora,15,2,38,22,0.19,0.49,0.29
,,,,County Commissioner District 1 (R),William F. Clark,Blue Hill,R,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,County Commissioner District 1 (R),Steven E. Joy,Blue Hill,R,Blue Hill,902,81,624,676,0.4,0.27,0.3
,,,,County Commissioner District 1 (R),William F. Clark,Eastbrook,R,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,County Commissioner District 1 (R),Steven E. Joy,Eastbrook,R,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,County Commissioner District 1 (R),William F. Clark,Ellsworth,R,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,County Commissioner District 1 (R),Steven E. Joy,Ellsworth,R,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,,,,County Commissioner District 1 (R),William F. Clark,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,County Commissioner District 1 (R),Steven E. Joy,Gouldsboro,R,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,,,,County Commissioner District 1 (R),William F. Clark,Great Pond,R,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,County Commissioner District 1 (R),Steven E. Joy,Great Pond,R,Great Pond,9,0,16,14,0.23,0.41,0.36
,,,,County Commissioner District 1 (R),William F. Clark,Mariaville,R,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,County Commissioner District 1 (R),Steven E. Joy,Mariaville,R,Mariaville,76,18,113,148,0.21,0.32,0.42
,,,,County Commissioner District 1 (R),William F. Clark,Osborn,R,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,County Commissioner District 1 (R),Steven E. Joy,Osborn,R,Osborn,9,1,33,8,0.18,0.65,0.16
,,,,County Commissioner District 1 (R),Steven E. Joy,Otis,R,Otis,131,29,218,193,0.23,0.38,0.34
,,,,County Commissioner District 1 (R),William F. Clark,Otis,R,Otis,131,29,218,193,0.23,0.38,0.34
,,,,County Commissioner District 1 (R),William F. Clark,Sorrento,R,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,County Commissioner District 1 (R),Steven E. Joy,Sorrento,R,Sorrento,86,8,94,77,0.32,0.35,0.29
,,,,County Commissioner District 1 (R),William F. Clark,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,County Commissioner District 1 (R),Steven E. Joy,Sullivan,R,Sullivan,208,56,258,349,0.24,0.3,0.4
,,,,County Commissioner District 1 (R),William F. Clark,Surry,R,Surry,378,64,433,368,0.3,0.35,0.3
,,,,County Commissioner District 1 (R),Steven E. Joy,Surry,R,Surry,378,64,433,368,0.3,0.35,0.3
,,,,County Commissioner District 1 (R),William F. Clark,Waltham,R,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,County Commissioner District 1 (R),Steven E. Joy,Waltham,R,Waltham,45,7,139,71,0.17,0.53,0.27
,,,,County Commissioner District 1 (R),William F. Clark,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,County Commissioner District 1 (R),Steven E. Joy,Winter Harbor,R,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Bar Harbor,R,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Cranberry Isles,R,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Franklin,R,Franklin,249,49,375,340,0.25,0.37,0.34
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Frenchboro,R,Frenchboro,12,4,9,17,0.29,0.21,0.4
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Lamoine,R,Lamoine,374,63,535,458,0.26,0.37,0.32
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Mount Desert,R,Mount Desert,637,66,494,615,0.35,0.27,0.34
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Southwest Harbor,R,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Swans Island,R,Swans Island,64,19,115,118,0.2,0.36,0.37
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Tremont,R,Tremont,64,19,115,118,0.2,0.36,0.37
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Trenton,R,Trenton,290,55,359,419,0.26,0.32,0.37
,,,,State Senate District 7 (D),Theodore S. Koffman,Eastbrook,D,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,State Senate District 7 (D),Moira K. O&#039;Neil,Eastbrook,D,Eastbrook,73,10,124,112,0.23,0.39,0.35
,,,,Legislature District 136 (R),Richard S. Malaby,Hancock,R,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,County Commissioner District 3 (R),Frederick R. Ehrlenbach,Hancock,R,Hancock,407,62,676,582,0.24,0.39,0.34
,,,,,,,,,,,,,,,
,10,,,Question 1: Legal marijuana,Yes,Amherst,,Amherst,52,9,73,66,0.26,0.37,0.33
,10,,,Question 1: Legal marijuana,Yes,Aurora,,Aurora,15,2,38,22,0.19,0.49,0.29
,10,,,Question 1: Legal marijuana,Yes,Bar Harbor,,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,10,,,Question 1: Legal marijuana,Yes,Blue Hill,,Blue Hill,902,81,624,676,0.4,0.27,0.3
,10,,,Question 1: Legal marijuana,Yes,Brooklin,,Brooklin,257,45,191,248,0.35,0.26,0.33
,10,,,Question 1: Legal marijuana,Yes,Brooksville,,Brooksville,291,45,220,241,0.37,0.28,0.3
,10,,,Question 1: Legal marijuana,Yes,Bucksport,,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,10,,,Question 1: Legal marijuana,Yes,Castine,,Castine,307,48,316,375,0.29,0.3,0.36
,10,,,Question 1: Legal marijuana,Yes,Cranberry Isles,,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,10,,,Question 1: Legal marijuana,Yes,Dedham,,Dedham,324,41,450,506,0.25,0.34,0.38
,10,,,Question 1: Legal marijuana,Yes,Deer Isle,,Deer Isle,574,62,416,644,0.34,0.25,0.38
,10,,,Question 1: Legal marijuana,Yes,Eastbrook,,Eastbrook,73,10,124,112,0.23,0.39,0.35
,10,,,Question 1: Legal marijuana,Yes,Ellsworth,,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,10,,,Question 1: Legal marijuana,Yes,Fletchers Landing,,Fletchers Landing,,,,,,,
,10,,,Question 1: Legal marijuana,Yes,Franklin,,Franklin,249,49,375,340,0.25,0.37,0.34
,10,,,Question 1: Legal marijuana,Yes,Frenchboro,,Frenchboro,12,4,9,17,0.29,0.21,0.4
,10,,,Question 1: Legal marijuana,Yes,Gouldsboro,,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,10,,,Question 1: Legal marijuana,Yes,Great Pond,,Great Pond,9,0,16,14,0.23,0.41,0.36
,10,,,Question 1: Legal marijuana,Yes,Hancock,,Hancock,407,62,676,582,0.24,0.39,0.34
,10,,,Question 1: Legal marijuana,Yes,Lamoine,,Lamoine,374,63,535,458,0.26,0.37,0.32
,10,,,Question 1: Legal marijuana,Yes,Mariaville,,Mariaville,76,18,113,148,0.21,0.32,0.42
,10,,,Question 1: Legal marijuana,Yes,Mount Desert,,Mount Desert,637,66,494,615,0.35,0.27,0.34
,10,,,Question 1: Legal marijuana,Yes,Orland,,Orland,446,72,415,648,0.28,0.26,0.41
,10,,,Question 1: Legal marijuana,Yes,Osborn,,Osborn,9,1,33,8,0.18,0.65,0.16
,10,,,Question 1: Legal marijuana,Yes,Otis,,Otis,131,29,218,193,0.23,0.38,0.34
,10,,,Question 1: Legal marijuana,Yes,Penobscot,,Penobscot,286,52,297,367,0.29,0.3,0.37
,10,,,Question 1: Legal marijuana,Yes,Sedgwick,,Sedgwick,342,57,238,336,0.35,0.24,0.35
,10,,,Question 1: Legal marijuana,Yes,Sorrento,,Sorrento,86,8,94,77,0.32,0.35,0.29
,10,,,Question 1: Legal marijuana,Yes,Southwest Harbor,,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,10,,,Question 1: Legal marijuana,Yes,Stonington,,Stonington,285,37,169,410,0.32,0.19,0.46
,10,,,Question 1: Legal marijuana,Yes,Sullivan,,Sullivan,208,56,258,349,0.24,0.3,0.4
,10,,,Question 1: Legal marijuana,Yes,Surry,,Surry,378,64,433,368,0.3,0.35,0.3
,10,,,Question 1: Legal marijuana,Yes,Swan's Island,,Swans Island,64,19,115,118,0.2,0.36,0.37
,10,,,Question 1: Legal marijuana,Yes,Tremont,,Tremont,64,19,115,118,0.2,0.36,0.37
,10,,,Question 1: Legal marijuana,Yes,Trenton,,Trenton,290,55,359,419,0.26,0.32,0.37
,10,,,Question 1: Legal marijuana,Yes,Verona Island,,Verona Island,136,14,141,134,0.32,0.33,0.32
,10,,,Question 1: Legal marijuana,Yes,Waltham,,Waltham,45,7,139,71,0.17,0.53,0.27
,10,,,Question 1: Legal marijuana,Yes,Winter Harbor,,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,10,,,Question 1: Legal marijuana,No,Amherst,,Amherst,52,9,73,66,0.26,0.37,0.33
,10,,,Question 1: Legal marijuana,No,Aurora,,Aurora,15,2,38,22,0.19,0.49,0.29
,10,,,Question 1: Legal marijuana,No,Bar Harbor,,Bar Harbor,1654,172,859,1420,0.4,0.21,0.35
,10,,,Question 1: Legal marijuana,No,Blue Hill,,Blue Hill,902,81,624,676,0.4,0.27,0.3
,10,,,Question 1: Legal marijuana,No,Brooklin,,Brooklin,257,45,191,248,0.35,0.26,0.33
,10,,,Question 1: Legal marijuana,No,Brooksville,,Brooksville,291,45,220,241,0.37,0.28,0.3
,10,,,Question 1: Legal marijuana,No,Bucksport,,Bucksport,1047,71,1103,1531,0.28,0.29,0.41
,10,,,Question 1: Legal marijuana,No,Castine,,Castine,307,48,316,375,0.29,0.3,0.36
,10,,,Question 1: Legal marijuana,No,Cranberry Isles,,Cranberry Isles,70,5,42,77,0.36,0.22,0.4
,10,,,Question 1: Legal marijuana,No,Dedham,,Dedham,324,41,450,506,0.25,0.34,0.38
,10,,,Question 1: Legal marijuana,No,Deer Isle,,Deer Isle,574,62,416,644,0.34,0.25,0.38
,10,,,Question 1: Legal marijuana,No,Eastbrook,,Eastbrook,73,10,124,112,0.23,0.39,0.35
,10,,,Question 1: Legal marijuana,No,Ellsworth 1,,Ellsworth,1377,196,2075,1840,0.25,0.38,0.34
,10,,,Question 1: Legal marijuana,No,Ellsworth 2,,Fletchers Landing,,,,,,,
,10,,,Question 1: Legal marijuana,No,Ellsworth 3,,Franklin,249,49,375,340,0.25,0.37,0.34
,10,,,Question 1: Legal marijuana,No,Ellsworth 4,,Frenchboro,12,4,9,17,0.29,0.21,0.4
,10,,,Question 1: Legal marijuana,No,Fletchers Landing,,Gouldsboro,369,81,515,541,0.25,0.34,0.36
,10,,,Question 1: Legal marijuana,No,Franklin,,Great Pond,9,0,16,14,0.23,0.41,0.36
,10,,,Question 1: Legal marijuana,No,Frenchboro,,Hancock,407,62,676,582,0.24,0.39,0.34
,10,,,Question 1: Legal marijuana,No,Gouldsboro,,Lamoine,374,63,535,458,0.26,0.37,0.32
,10,,,Question 1: Legal marijuana,No,Great Pond,,Mariaville,76,18,113,148,0.21,0.32,0.42
,10,,,Question 1: Legal marijuana,No,Hancock,,Mount Desert,637,66,494,615,0.35,0.27,0.34
,10,,,Question 1: Legal marijuana,No,Lamoine,,Orland,446,72,415,648,0.28,0.26,0.41
,10,,,Question 1: Legal marijuana,No,Mariaville,,Osborn,9,1,33,8,0.18,0.65,0.16
,10,,,Question 1: Legal marijuana,No,Mount Desert,,Otis,131,29,218,193,0.23,0.38,0.34
,10,,,Question 1: Legal marijuana,No,Orland,,Penobscot,286,52,297,367,0.29,0.3,0.37
,10,,,Question 1: Legal marijuana,No,Osborn,,Sedgwick,342,57,238,336,0.35,0.24,0.35
,10,,,Question 1: Legal marijuana,No,Otis,,Sorrento,86,8,94,77,0.32,0.35,0.29
,10,,,Question 1: Legal marijuana,No,Penobscot,,Southwest Harbor,468,69,383,590,0.31,0.25,0.39
,10,,,Question 1: Legal marijuana,No,Sedgwick,,Stonington,285,37,169,410,0.32,0.19,0.46
,10,,,Question 1: Legal marijuana,No,Sorrento,,Sullivan,208,56,258,349,0.24,0.3,0.4
,10,,,Question 1: Legal marijuana,No,Southwest Harbor,,Surry,378,64,433,368,0.3,0.35,0.3
,10,,,Question 1: Legal marijuana,No,Stonington,,Swans Island,64,19,115,118,0.2,0.36,0.37
,10,,,Question 1: Legal marijuana,No,Sullivan,,Tremont,64,19,115,118,0.2,0.36,0.37
,10,,,Question 1: Legal marijuana,No,Surry,,Trenton,290,55,359,419,0.26,0.32,0.37
,10,,,Question 1: Legal marijuana,No,Swan's Island,,Verona Island,136,14,141,134,0.32,0.33,0.32
,10,,,Question 1: Legal marijuana,No,Tremont,,Waltham,45,7,139,71,0.17,0.53,0.27
,10,,,Question 1: Legal marijuana,No,Trenton,,Winter Harbor,96,14,171,149,0.22,0.4,0.35
,10,,,Question 1: Legal marijuana,No,Verona Island,,,,,,,,,
,10,,,Question 1: Legal marijuana,No,Waltham,,,,,,,,,
,10,,,Question 1: Legal marijuana,No,Winter Harbor,,,,,,,,,
